attempt_index,attempt_id,circuit,source_qasm_sha256,family,qmax,num_qubits,depth,gate_count,acted_point_count,gate_node_denominator,gate_qubit_event_denominator,qubit_denominator,normalized_depth_denominator,two_qubit_density,E_mean,E_peak,certificate_selected_point_count,certificate_selected_gate_count,certificate_selected_qubit_count,certificate_acted_point_coverage,certificate_gate_coverage,certificate_qubit_coverage,certificate_depth_reach,emitted_mid_point_count,emitted_mid_gate_count,emitted_mid_qubit_count,emitted_mid_acted_point_coverage,emitted_mid_gate_coverage,emitted_mid_qubit_coverage,emitted_mid_depth_reach,final_read_point_count,deployed_observable_point_count,deployed_observable_gate_count,deployed_observable_qubit_count,deployed_observable_acted_point_coverage,deployed_observable_gate_coverage,deployed_observable_qubit_coverage,deployed_observable_depth_reach,infeasible_mid_point_count,infeasible_gate_group_count,batch_count,selector_max_a2,selector_max_independent_svd_a2,mean_ent,peak_ent,node_cov,emitted_node_cov,certificate_node_cov,deployed_node_cov
0,canonical:000:ae_indep_qiskit_10.qasm,ae_indep_qiskit_10.qasm,f913d6ce0464879a4c4e8a9e5d0ebcb28780d638ce60abeddcaf48f7b12b8a0b,ae,24,10,53,91,145,91,145,10,53,0.5934065934065934,0.19469268655290758,0.24999999793463826,10,10,10,0.06896551724137931,0.10989010989010989,1.0,0.018867924528301886,10,10,10,0.06896551724137931,0.10989010989010989,1.0,0.018867924528301886,0,10,10,10,0.06896551724137931,0.10989010989010989,1.0,0.018867924528301886,0,0,1,2.1935302264128735e-15,2.1935302264128735e-15,0.19469268655290758,0.24999999793463826,0.10989010989010989,0.10989010989010989,0.10989010989010989,0.10989010989010989
1,canonical:001:ae_indep_qiskit_11.qasm,ae_indep_qiskit_11.qasm,abdd04f5d050f9dd091b757f9336a0bdd4b32d8d86c807ca0202810d88355ef0,ae,24,11,71,151,221,151,221,11,71,0.46357615894039733,0.18265472307376043,0.24999991996088441,22,22,11,0.09954751131221719,0.1456953642384106,1.0,0.028169014084507043,22,22,11,0.09954751131221719,0.1456953642384106,1.0,0.028169014084507043,0,22,22,11,0.09954751131221719,0.1456953642384106,1.0,0.028169014084507043,0,0,1,8.897192016001085e-15,8.897192016001085e-15,0.18265472307376043,0.24999991996088441,0.1456953642384106,0.1456953642384106,0.1456953642384106,0.1456953642384106
2,canonical:002:ae_indep_qiskit_12.qasm,ae_indep_qiskit_12.qasm,4c3296e292b2ad76639bf81aacd133d47bfd7bac7056e7e8d8d99c2a183e017f,ae,24,12,78,171,253,171,253,12,78,0.47953216374269003,0.18087785539257917,0.2499999820304982,24,24,12,0.09486166007905138,0.14035087719298245,1.0,0.02564102564102564,24,24,12,0.09486166007905138,0.14035087719298245,1.0,0.02564102564102564,0,24,24,12,0.09486166007905138,0.14035087719298245,1.0,0.02564102564102564,0,0,1,1.3564708635150358e-14,1.3564708635150358e-14,0.18087785539257917,0.2499999820304982,0.14035087719298245,0.14035087719298245,0.14035087719298245,0.14035087719298245
3,canonical:003:ae_indep_qiskit_13.qasm,ae_indep_qiskit_13.qasm,98f44a4ff1d616a33e4ddf0cd1cee9d13cf4c4e72202269e672e5058e9dcc493,ae,24,13,85,193,289,193,289,13,85,0.49740932642487046,0.19125270178032644,0.2499999999942637,26,26,13,0.08996539792387544,0.13471502590673576,1.0,0.023529411764705882,26,26,13,0.08996539792387544,0.13471502590673576,1.0,0.023529411764705882,0,26,26,13,0.08996539792387544,0.13471502590673576,1.0,0.023529411764705882,0,0,1,4.197953272782662e-14,4.197953272782662e-14,0.19125270178032644,0.2499999999942637,0.13471502590673576,0.13471502590673576,0.13471502590673576,0.13471502590673576
4,canonical:004:ae_indep_qiskit_14.qasm,ae_indep_qiskit_14.qasm,9dad3b6217043edb43500b205792b6174306429ff177e4583fca7d0279c0d5cb,ae,24,14,92,215,325,215,325,14,92,0.5116279069767442,0.1838446186494876,0.24999999999637848,28,28,14,0.08615384615384615,0.13023255813953488,1.0,0.021739130434782608,28,28,14,0.08615384615384615,0.13023255813953488,1.0,0.021739130434782608,0,28,28,14,0.08615384615384615,0.13023255813953488,1.0,0.021739130434782608,0,0,1,5.574239041039608e-14,5.574239041039608e-14,0.1838446186494876,0.24999999999637848,0.13023255813953488,0.13023255813953488,0.13023255813953488,0.13023255813953488
5,canonical:005:ae_indep_qiskit_3.qasm,ae_indep_qiskit_3.qasm,6a21b923302a5b3c54de1eadc1d449eac290c199d4d0e48036535906f88c2990,ae,24,3,11,14,19,14,19,3,11,0.35714285714285715,0.14901052631578937,0.24294399999999985,3,3,3,0.15789473684210525,0.21428571428571427,1.0,0.09090909090909091,3,3,3,0.15789473684210525,0.21428571428571427,1.0,0.09090909090909091,0,3,3,3,0.15789473684210525,0.21428571428571427,1.0,0.09090909090909091,0,0,1,4.299875284949258e-17,4.299875284949258e-17,0.14901052631578937,0.24294399999999985,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427
6,canonical:006:ae_indep_qiskit_4.qasm,ae_indep_qiskit_4.qasm,cc99b7d50c23a9364440d91e33e5e90dc56b186b87906c31412d623c08c47425,ae,24,4,17,22,31,22,31,4,17,0.4090909090909091,0.15673725043642475,0.24835321305878888,4,4,4,0.12903225806451613,0.18181818181818182,1.0,0.058823529411764705,4,4,4,0.12903225806451613,0.18181818181818182,1.0,0.058823529411764705,0,4,4,4,0.12903225806451613,0.18181818181818182,1.0,0.058823529411764705,0,0,1,6.798699777552594e-17,6.798699777552594e-17,0.15673725043642475,0.24835321305878888,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
7,canonical:007:ae_indep_qiskit_5.qasm,ae_indep_qiskit_5.qasm,8e44edfcbb14c1bb6963903df5e824e72784be18fb64efe796cdb706248f20a7,ae,24,5,23,31,45,31,45,5,23,0.45161290322580644,0.17600433770213486,0.24996302705844792,5,5,5,0.1111111111111111,0.16129032258064516,1.0,0.043478260869565216,5,5,5,0.1111111111111111,0.16129032258064516,1.0,0.043478260869565216,0,5,5,5,0.1111111111111111,0.16129032258064516,1.0,0.043478260869565216,0,0,1,1.6302709355362944e-16,1.6302709355362944e-16,0.17600433770213486,0.24996302705844792,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.16129032258064516
8,canonical:008:ae_indep_qiskit_6.qasm,ae_indep_qiskit_6.qasm,41b25deb15a8439757791ec372290f83c4db13253abba7dc3e072c64b93fb398,ae,24,6,29,41,61,41,61,6,29,0.4878048780487805,0.18280483646497966,0.24971007291171454,6,6,6,0.09836065573770492,0.14634146341463414,1.0,0.034482758620689655,6,6,6,0.09836065573770492,0.14634146341463414,1.0,0.034482758620689655,0,6,6,6,0.09836065573770492,0.14634146341463414,1.0,0.034482758620689655,0,0,1,1.6302709355362944e-16,1.6302709355362944e-16,0.18280483646497966,0.24971007291171454,0.14634146341463414,0.14634146341463414,0.14634146341463414,0.14634146341463414
9,canonical:009:ae_indep_qiskit_7.qasm,ae_indep_qiskit_7.qasm,2cc92c1d71f66e59e955c867d089890806615e261d1af43b6b202500bb1c521f,ae,24,7,35,52,79,52,79,7,35,0.5192307692307693,0.19618683089184596,0.24998919112708037,7,7,7,0.08860759493670886,0.1346153846153846,1.0,0.02857142857142857,7,7,7,0.08860759493670886,0.1346153846153846,1.0,0.02857142857142857,0,7,7,7,0.08860759493670886,0.1346153846153846,1.0,0.02857142857142857,0,0,1,4.1273296885643983e-16,4.1273296885643983e-16,0.19618683089184596,0.24998919112708037,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.1346153846153846
