attempt_id,family,requested_qubits,circuit_width_qubits,selection_status,mps_node_selection_runtime_seconds,observed_max_bond_dimension_chi
extension:ae:q15,ae,15,15,selector_complete,0.185348224,27
extension:ae:q18,ae,18,18,selector_complete,0.349391449,36
extension:ae:q20,ae,20,20,selector_complete,0.48941798,38
extension:ae:q24,ae,24,24,selector_complete,0.781436882,38
extension:ae:q30,ae,30,30,selector_complete,1.522389033,40
extension:ae:q40,ae,40,40,selector_complete,2.279277079,34
extension:bv:q15,bv,15,15,selector_complete,0.042367356,1
extension:bv:q18,bv,18,18,selector_complete,0.043147563,1
extension:bv:q20,bv,20,20,selector_complete,0.046409385,1
extension:bv:q24,bv,24,24,selector_complete,0.046996057,1
extension:bv:q30,bv,30,30,selector_complete,0.050153679,1
extension:bv:q40,bv,40,40,selector_complete,0.063505104,1
extension:bv:q50,bv,50,50,selector_complete,0.070288861,1
extension:cdkm_ripple_carry_adder:q18,cdkm_ripple_carry_adder,18,18,selector_complete,0.080015,1
extension:cdkm_ripple_carry_adder:q20,cdkm_ripple_carry_adder,20,20,selector_complete,0.086967345,1
extension:cdkm_ripple_carry_adder:q24,cdkm_ripple_carry_adder,24,24,selector_complete,0.109981893,1
extension:cdkm_ripple_carry_adder:q30,cdkm_ripple_carry_adder,30,30,selector_complete,0.14068158,1
extension:cdkm_ripple_carry_adder:q40,cdkm_ripple_carry_adder,40,40,selector_complete,0.202875327,1
extension:cdkm_ripple_carry_adder:q50,cdkm_ripple_carry_adder,50,50,selector_complete,0.247010886,1
extension:dj:q15,dj,15,15,selector_complete,0.046076476,1
extension:dj:q18,dj,18,18,selector_complete,0.047158825,1
extension:dj:q20,dj,20,20,selector_complete,0.050333793,1
extension:dj:q24,dj,24,24,selector_complete,0.052289601,1
extension:dj:q30,dj,30,30,selector_complete,0.058074593,1
extension:dj:q40,dj,40,40,selector_complete,0.073953422,1
extension:dj:q50,dj,50,50,selector_complete,0.083503019,1
extension:draper_qft_adder:q18,draper_qft_adder,18,18,selector_complete,0.078009489,1
extension:draper_qft_adder:q20,draper_qft_adder,20,20,selector_complete,0.075651432,1
extension:draper_qft_adder:q24,draper_qft_adder,24,24,selector_complete,0.097414266,1
extension:draper_qft_adder:q30,draper_qft_adder,30,30,selector_complete,0.139579551,1
extension:draper_qft_adder:q40,draper_qft_adder,40,40,selector_complete,0.283270105,1
extension:draper_qft_adder:q50,draper_qft_adder,50,50,selector_complete,0.44070079,1
extension:full_adder:q18,full_adder,18,18,selector_complete,0.079550694,1
extension:full_adder:q20,full_adder,20,20,selector_complete,0.087187939,1
extension:full_adder:q24,full_adder,24,24,selector_complete,0.101147342,1
extension:full_adder:q30,full_adder,30,30,selector_complete,0.125748755,1
extension:full_adder:q40,full_adder,40,40,selector_complete,0.182067882,1
extension:full_adder:q50,full_adder,50,50,selector_complete,0.246696292,1
extension:ghz:q15,ghz,15,15,selector_complete,0.041613706,2
extension:ghz:q18,ghz,18,18,selector_complete,0.041499138,2
extension:ghz:q20,ghz,20,20,selector_complete,0.041825347,2
extension:ghz:q24,ghz,24,24,selector_complete,0.044480312,2
extension:ghz:q30,ghz,30,30,selector_complete,0.043428148,2
extension:ghz:q40,ghz,40,40,selector_complete,0.046659094,2
extension:ghz:q50,ghz,50,50,selector_complete,0.049915328,2
extension:graphstate:q15,graphstate,15,15,selector_complete,0.062745017,64
extension:graphstate:q18,graphstate,18,18,selector_complete,0.081415418,64
extension:graphstate:q20,graphstate,20,20,selector_complete,2.678962475,512
extension:graphstate:q24,graphstate,24,24,selector_complete,809.24295583,2048
extension:half_adder:q15,half_adder,15,15,selector_complete,0.089913814,1
extension:hhl:q15,hhl,15,15,selector_complete,0.902675929,111
extension:hhl:q18,hhl,18,18,selector_complete,2.443180105,146
extension:hhl:q20,hhl,20,20,selector_complete,3.607134873,151
extension:hhl:q24,hhl,24,24,selector_complete,4.988147276,128
extension:hhl:q30,hhl,30,30,selector_complete,5.186779823,79
extension:hhl:q40,hhl,40,40,selector_complete,6.173113005,70
extension:hhl:q50,hhl,50,50,selector_complete,8.03891961,71
extension:modular_adder:q18,modular_adder,18,18,selector_complete,0.086166983,1
extension:modular_adder:q20,modular_adder,20,20,selector_complete,0.084475152,1
extension:modular_adder:q24,modular_adder,24,24,selector_complete,0.09236211,1
